"Summary","Issue Type","Description","Labels","Priority","Components","Epic Link"
"Login and current user session","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nNguoi dung can dang nhap nhanh va lay thong tin tai khoan dang hoat dong.\n---\n## Pain Points\n- Khong co phien dang nhap thi khong the truy cap tinh nang\n- Can co JWT de goi API\n---\n## Business Value\n- Xac thuc tin cay\n- Truy cap phan quyen dung vai tro\n---\n## Actors\n### Primary Actor\nUser (ADMIN/LECTURER/STUDENT)\n---\n## User Story Statement\nLa mot Nguoi dung, toi muon dang nhap de he thong cap JWT va tra ve thong tin user hien tai.\n---\n# 2. User Flow\n## 2.1 Luong chinh: Login\n1. User nhap email/password\n2. Client goi POST /api/auth/login\n3. Backend tra accessToken + user\n4. Client luu token va goi GET /api/auth/me\n---\n# 3. Exception Flow\n## EF-01 – Sai mat khau\nTra 401 va thong bao sai thong tin dang nhap\n---\n# 4. Acceptance Criteria\n## AC-01 – Dang nhap thanh cong\nGiven thong tin hop le When login Then tra accessToken va user\n---\n# 5. API\nPOST /api/auth/login\nGET /api/auth/me\n---\n# 6. Database Table\nN/A (doc tu bang Users)\n---\n# 7. Business Rule\nToken phai duoc dinh kem cho cac API can xac thuc.","scope,auth,api,implemented","High","Auth","Authentication and access control"
"User registration flow","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nCan tao tai khoan moi cho nguoi dung theo role.\n---\n## Pain Points\n- Dang ky thu cong gay mat thoi gian\n- Thieu thong tin studentId/department khi can\n---\n## Business Value\n- Onboarding nhanh\n- Du lieu day du\n---\n## Actors\n### Primary Actor\nUser dang ky\n---\n## User Story Statement\nLa mot Nguoi dung, toi muon dang ky tai khoan de su dung he thong.\n---\n# 2. User Flow\n## 2.1 Luong chinh: Register\n1. User nhap thong tin\n2. Client goi POST /api/auth/register\n3. Backend tao user va tra ve thong tin\n---\n# 3. Exception Flow\n## EF-01 – Email da ton tai\nTra 409 va thong bao email da duoc su dung\n---\n# 4. Acceptance Criteria\n## AC-01 – Dang ky thanh cong\nGiven thong tin hop le When register Then tao user moi va tra ve du lieu\n---\n# 5. API\nPOST /api/auth/register\n---\n# 6. Database Table\nUsers\n---\n# 7. Business Rule\nRole phai nam trong danh sach cho phep.","scope,auth,registration,implemented","Medium","Auth","Authentication and access control"
"Role based route and API protection","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nCan kiem soat truy cap theo vai tro.\n---\n## Pain Points\n- Truy cap sai role co the lo du lieu\n---\n## Business Value\n- Bao mat he thong\n- Dung phan quyen\n---\n## Actors\n### Primary Actor\nADMIN/LECTURER/STUDENT\n---\n## User Story Statement\nLa mot Quan tri, toi muon he thong gioi han truy cap theo role.\n---\n# 2. User Flow\n## 2.1 Luong chinh: RBAC\n1. Client gui JWT\n2. Backend validate JWT\n3. Guard kiem tra role\n---\n# 3. Exception Flow\n## EF-01 – Khong co quyen\nTra 403 Forbidden\n---\n# 4. Acceptance Criteria\n## AC-01 – Dung role moi duoc truy cap\nGiven role hop le When goi API Then truy cap duoc\n---\n# 5. API\nTat ca endpoint can auth\n---\n# 6. Database Table\nUsers (role)\n---\n# 7. Business Rule\nRole guard bat buoc cho endpoint nhay cam.","scope,auth,rbac,implemented","High","Auth","Authentication and access control"
"Admin user CRUD","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nCan quan ly nguoi dung trong he thong.\n---\n## Pain Points\n- Khong co man hinh quan tri user\n---\n## Business Value\n- Quan tri nhanh\n- Du lieu nguoi dung chinh xac\n---\n## Actors\n### Primary Actor\nADMIN\n---\n## User Story Statement\nLa mot Admin, toi muon tao/sua/xoa user de quan tri he thong.\n---\n# 2. User Flow\n## 2.1 Luong chinh: CRUD\n1. Admin mo User Management\n2. Tao/Sua/Xoa user\n3. Backend cap nhat DB\n---\n# 3. Exception Flow\n## EF-01 – User khong ton tai\nTra 404\n---\n# 4. Acceptance Criteria\n## AC-01 – CRUD thanh cong\nGiven du lieu hop le When CRUD Then DB duoc cap nhat\n---\n# 5. API\nGET/POST/PATCH/DELETE /api/users\n---\n# 6. Database Table\nUsers\n---\n# 7. Business Rule\nChi ADMIN duoc tao va xoa user.","scope,users,admin,implemented","High","Users","User and role administration"
"Student and lecturer filters","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nCan loc danh sach theo vai tro.\n---\n## Pain Points\n- Tim kiem user theo role mat thoi gian\n---\n## Business Value\n- Van hanh de dang\n---\n## Actors\n### Primary Actor\nADMIN/LECTURER\n---\n## User Story Statement\nLa mot Nguoi quan tri, toi muon loc danh sach sinh vien/giang vien.\n---\n# 2. User Flow\n## 2.1 Luong chinh: Filter by role\n1. Chon tab Students/Lecturers\n2. Goi endpoint tuong ung\n---\n# 3. Exception Flow\nN/A\n---\n# 4. Acceptance Criteria\n## AC-01 – Tra ve danh sach theo role\nGiven role hop le When goi API Then tra ve danh sach dung role\n---\n# 5. API\nGET /api/users/students\nGET /api/users/lecturers\n---\n# 6. Database Table\nUsers\n---\n# 7. Business Rule\nLecturer chi xem duoc danh sach sinh vien.","scope,users,filters,implemented","Medium","Users","User and role administration"
"Profile and account update","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nNguoi dung can cap nhat ho so ca nhan.\n---\n## Pain Points\n- Thong tin cu khong con phu hop\n---\n## Business Value\n- Du lieu nguoi dung chuan\n---\n## Actors\n### Primary Actor\nUser\n---\n## User Story Statement\nLa mot Nguoi dung, toi muon cap nhat ho so de thong tin luon moi.\n---\n# 2. User Flow\n## 2.1 Luong chinh: Update profile\n1. Mo trang Profile\n2. Cap nhat truong thong tin\n3. Goi PATCH /api/users/:id\n---\n# 3. Exception Flow\n## EF-01 – Thong tin khong hop le\nTra 400\n---\n# 4. Acceptance Criteria\n## AC-01 – Cap nhat thanh cong\nGiven du lieu hop le When update Then DB cap nhat va UI thong bao\n---\n# 5. API\nPATCH /api/users/:id\n---\n# 6. Database Table\nUsers\n---\n# 7. Business Rule\nUser chi sua duoc thong tin cua minh (tru ADMIN).","scope,profile,account,implemented","Medium","Users","User and role administration"
"Course CRUD for lecturer and admin","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nCan quan ly hoc phan cho giang vien.\n---\n## Pain Points\n- Thieu cong cu tao/cap nhat hoc phan\n---\n## Business Value\n- Quan ly khoa hoc tap trung\n---\n## Actors\n### Primary Actor\nLECTURER/ADMIN\n---\n## User Story Statement\nLa mot Giang vien, toi muon tao va quan ly hoc phan.\n---\n# 2. User Flow\n## 2.1 Luong chinh: Course CRUD\n1. Mo Course Management\n2. Tao/cap nhat/xoa hoc phan\n3. Backend cap nhat DB\n---\n# 3. Exception Flow\n## EF-01 – Course khong ton tai\nTra 404\n---\n# 4. Acceptance Criteria\n## AC-01 – CRUD thanh cong\nGiven du lieu hop le When CRUD Then thay doi duoc luu\n---\n# 5. API\nGET/POST/PATCH/DELETE /api/courses\n---\n# 6. Database Table\nCourses\n---\n# 7. Business Rule\nLECTURER khong xoa duoc course neu khong co quyen.","scope,courses,crud,implemented","High","Courses","Course lifecycle management"
"My courses view by role","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nNguoi dung can xem danh sach hoc phan lien quan.\n---\n## Pain Points\n- Danh sach khoa hoc bi tron lan\n---\n## Business Value\n- Truy cap nhanh danh sach ca nhan\n---\n## Actors\n### Primary Actor\nUser\n---\n## User Story Statement\nLa mot Nguoi dung, toi muon xem cac hoc phan cua minh.\n---\n# 2. User Flow\n## 2.1 Luong chinh: My courses\n1. Mo My Courses\n2. Goi GET /api/courses/my-courses\n3. Hien thi danh sach\n---\n# 3. Exception Flow\nN/A\n---\n# 4. Acceptance Criteria\n## AC-01 – Danh sach dung role\nGiven role hop le When xem Then chi hien thi course lien quan\n---\n# 5. API\nGET /api/courses/my-courses\n---\n# 6. Database Table\nCourses, Enrollments\n---\n# 7. Business Rule\nSinh vien chi xem course da ghi danh.","scope,courses,listing,implemented","Medium","Courses","Course lifecycle management"
"Single student enrollment","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nCan ghi danh tung sinh vien vao hoc phan.\n---\n## Pain Points\n- Ghi danh thu cong cham\n---\n## Business Value\n- Van hanh nhanh\n---\n## Actors\n### Primary Actor\nLECTURER/ADMIN\n---\n## User Story Statement\nLa mot Giang vien, toi muon ghi danh tung sinh vien vao course.\n---\n# 2. User Flow\n## 2.1 Luong chinh: Single enrollment\n1. Chon course\n2. Chon sinh vien\n3. Goi POST /api/enrollments\n---\n# 3. Exception Flow\n## EF-01 – Trung ghi danh\nTra 409\n---\n# 4. Acceptance Criteria\n## AC-01 – Ghi danh thanh cong\nGiven student hop le When enroll Then tao enrollment moi\n---\n# 5. API\nPOST /api/enrollments\n---\n# 6. Database Table\nEnrollments\n---\n# 7. Business Rule\nKhong duoc ghi danh trung mot course.","scope,enrollments,single,implemented","Medium","Enrollments","Enrollment operations"
"Bulk enrollment workflow","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nCan ghi danh hang loat.\n---\n## Pain Points\n- Ghi danh tung nguoi mat thoi gian\n---\n## Business Value\n- Tiet kiem thoi gian van hanh\n---\n## Actors\n### Primary Actor\nLECTURER/ADMIN\n---\n## User Story Statement\nLa mot Giang vien, toi muon ghi danh hang loat sinh vien vao course.\n---\n# 2. User Flow\n## 2.1 Luong chinh: Bulk enrollment\n1. Chon course\n2. Tai file danh sach\n3. Goi POST /api/enrollments/bulk\n---\n# 3. Exception Flow\n## EF-01 – Dinh dang file sai\nTra 400\n---\n# 4. Acceptance Criteria\n## AC-01 – Ghi danh hang loat thanh cong\nGiven danh sach hop le When bulk enroll Then tao nhieu enrollment\n---\n# 5. API\nPOST /api/enrollments/bulk\n---\n# 6. Database Table\nEnrollments\n---\n# 7. Business Rule\nBo qua hoac bao loi neu trung hoc phan.","scope,enrollments,bulk,implemented","Medium","Enrollments","Enrollment operations"
